acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.361,https://api.spotify.com/v1/audio-analysis/6I6NX6tjGsxFAsIfGzY9lJ,0.653,264747,0.409,6I6NX6tjGsxFAsIfGzY9lJ,0.00012,9,0.189,-11.446,1,0.421,174.324,4,https://api.spotify.com/v1/tracks/6I6NX6tjGsxFAsIfGzY9lJ,audio_features,spotify:track:6I6NX6tjGsxFAsIfGzY9lJ,0.187
0.533,https://api.spotify.com/v1/audio-analysis/7JYsArznYOjX2jsrT3UEnL,0.635,234650,0.847,7JYsArznYOjX2jsrT3UEnL,0.0,7,0.154,-3.152,1,0.447,166.072,4,https://api.spotify.com/v1/tracks/7JYsArznYOjX2jsrT3UEnL,audio_features,spotify:track:7JYsArznYOjX2jsrT3UEnL,0.568
0.181,https://api.spotify.com/v1/audio-analysis/4F7A0DXBrmUAkp32uenhZt,0.585,249213,0.612,4F7A0DXBrmUAkp32uenhZt,1.03e-05,1,0.293,-8.341,1,0.0806,77.487,4,https://api.spotify.com/v1/tracks/4F7A0DXBrmUAkp32uenhZt,audio_features,spotify:track:4F7A0DXBrmUAkp32uenhZt,0.188
0.156,https://api.spotify.com/v1/audio-analysis/0v9Wz8o0BT8DU38R4ddjeH,0.652,304607,0.795,0v9Wz8o0BT8DU38R4ddjeH,0.0,11,0.123,-5.192,0,0.174,135.018,4,https://api.spotify.com/v1/tracks/0v9Wz8o0BT8DU38R4ddjeH,audio_features,spotify:track:0v9Wz8o0BT8DU38R4ddjeH,0.788
0.136,https://api.spotify.com/v1/audio-analysis/4gmmRb6bZJffOOiww1JGTO,0.906,235040,0.444,4gmmRb6bZJffOOiww1JGTO,6.44e-05,4,0.173,-8.692,0,0.384,140.063,4,https://api.spotify.com/v1/tracks/4gmmRb6bZJffOOiww1JGTO,audio_features,spotify:track:4gmmRb6bZJffOOiww1JGTO,0.678
0.371,https://api.spotify.com/v1/audio-analysis/1qOLh0tI7trd1zdDKxYZTe,0.636,181880,0.633,1qOLh0tI7trd1zdDKxYZTe,0.0,4,0.102,-4.23,1,0.126,99.721,4,https://api.spotify.com/v1/tracks/1qOLh0tI7trd1zdDKxYZTe,audio_features,spotify:track:1qOLh0tI7trd1zdDKxYZTe,0.512
0.16,https://api.spotify.com/v1/audio-analysis/0QsvXIfqM0zZoerQfsI9lm,0.542,208053,0.859,0QsvXIfqM0zZoerQfsI9lm,0.00466,11,0.137,-5.651,1,0.197,159.797,4,https://api.spotify.com/v1/tracks/0QsvXIfqM0zZoerQfsI9lm,audio_features,spotify:track:0QsvXIfqM0zZoerQfsI9lm,0.403
0.0408,https://api.spotify.com/v1/audio-analysis/4pLwZjInHj3SimIyN9SnOz,0.648,226160,0.738,4pLwZjInHj3SimIyN9SnOz,0.0,6,0.292,-5.883,0,0.247,159.145,4,https://api.spotify.com/v1/tracks/4pLwZjInHj3SimIyN9SnOz,audio_features,spotify:track:4pLwZjInHj3SimIyN9SnOz,0.603
0.123,https://api.spotify.com/v1/audio-analysis/4Hf7WnR761jpxPr5D46Bcd,0.624,187973,0.803,4Hf7WnR761jpxPr5D46Bcd,0.0,10,0.114,-4.105,0,0.246,166.018,4,https://api.spotify.com/v1/tracks/4Hf7WnR761jpxPr5D46Bcd,audio_features,spotify:track:4Hf7WnR761jpxPr5D46Bcd,0.821
0.0592,https://api.spotify.com/v1/audio-analysis/04DwTuZ2VBdJCCC5TROn7L,0.49,195840,0.485,04DwTuZ2VBdJCCC5TROn7L,0.0,4,0.337,-6.237,0,0.0406,133.889,4,https://api.spotify.com/v1/tracks/04DwTuZ2VBdJCCC5TROn7L,audio_features,spotify:track:04DwTuZ2VBdJCCC5TROn7L,0.196
0.00479,https://api.spotify.com/v1/audio-analysis/4ckuS4Nj4FZ7i3Def3Br8W,0.804,251333,0.56,4ckuS4Nj4FZ7i3Def3Br8W,0.0,8,0.164,-6.682,1,0.185,85.023,4,https://api.spotify.com/v1/tracks/4ckuS4Nj4FZ7i3Def3Br8W,audio_features,spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,0.272
0.0123,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,0.667,236002,0.83,6JV2JOEocMgcZxYSZelKcc,0.0,0,0.191,-5.715,1,0.0749,113.03,4,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,audio_features,spotify:track:6JV2JOEocMgcZxYSZelKcc,0.701
0.103,https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb,0.803,214480,0.585,4tCtwWceOPWzenK2HAIJSb,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,audio_features,spotify:track:4tCtwWceOPWzenK2HAIJSb,0.593
0.0841,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,0.732,195920,0.396,6i0V12jOa3mr6uu4WYhUBr,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,audio_features,spotify:track:6i0V12jOa3mr6uu4WYhUBr,0.548
